Station_ID,Station_Name,City,Date,PM2.5 (µg/m³),PM10 (µg/m³),NO₂ (µg/m³),SO₂ (µg/m³),CO (mg/m³),O₃ (µg/m³)
AHM01,Chandkheda,Ahmedabad,03-03-2023,91.74,157.79,7.66,10.32,0.48,20.6
AHM01,Chandkheda,Ahmedabad,04-03-2023,64.08,116.6,5.77,9.5,0.13,23.34
AHM01,Chandkheda,Ahmedabad,05-03-2023,NaN,NaN,NaN,NaN,NaN,NaN
AHM01,Chandkheda,Ahmedabad,06-03-2023,103.25,176.95,2.16,11.37,0.03,15.03
AHM01,Chandkheda,Ahmedabad,07-03-2023,44.7,79.1,11.71,5.36,1.18,27.77
AHM01,Chandkheda,Ahmedabad,08-03-2023,32.62,62.61,5.34,6.71,2.08,21.36
AHM01,Chandkheda,Ahmedabad,09-03-2023,38.69,66.18,5.4,5.47,2.27,16.45
AHM01,Chandkheda,Ahmedabad,10-03-2023,42.08,74.63,5.96,6.17,1.85,16.56
AHM01,Chandkheda,Ahmedabad,11-03-2023,45.06,80.22,3.51,6.93,1.41,18.82
AHM01,Chandkheda,Ahmedabad,12-03-2023,60.1,107.01,3.48,6.47,1.55,19.51
AHM01,Chandkheda,Ahmedabad,13-03-2023,76.19,133.78,3.76,6.61,1.65,17.77
AHM01,Chandkheda,Ahmedabad,14-03-2023,57.76,103.6,3.82,9.62,1.23,16.22
AHM01,Chandkheda,Ahmedabad,15-03-2023,63.23,116.26,3.69,9.28,1.15,12.4
AHM01,Chandkheda,Ahmedabad,16-03-2023,44.42,80.7,3.44,13.16,0.85,31.56
AHM01,Chandkheda,Ahmedabad,17-03-2023,66.76,120.43,3.75,5.2,0.82,16.22
AHM01,Chandkheda,Ahmedabad,18-03-2023,46.27,91.27,3.43,7.45,0.56,22.34
AHM01,Chandkheda,Ahmedabad,19-03-2023,25.39,45.87,7.56,8.03,0.66,17.52
AHM01,Chandkheda,Ahmedabad,20-03-2023,22.83,40.87,4.93,5.97,0.25,16.34
AHM01,Chandkheda,Ahmedabad,21-03-2023,31.11,57.02,7,7.63,0.8,17.35
AHM01,Chandkheda,Ahmedabad,22-03-2023,33.99,64.42,7,7.34,0.78,15.74
